2020-05-25
+-----------------------------------------+--------+
|                   Card                  | Price  |
|          Heavy Storm HL          |  7.88 |
|            Premature             |  7.85 |
|         Sakuretsu Armor          |  7.11 |
|           Dd assailnt            |  6.7  |
|             COTH HL              |  6.52 |
|            Red Dragon            |  6.41 |
|        Metamorphosis pgd         |  6.36 |
|           Sin Serpent            |  6.16 |
|           Scapegoat HL           |  5.32 |
|         Reaper Nightmare         |  5.13 |
|             Mercahnt             |  5.04 |
|        Magician of faith         |  4.81 |
|          Dark Balter HL          |  4.7  |
|          Ancient Fairy           |  4.24 |
|             Exarion              |  2.94 |
|        Morphing Jar LCYW         |  2.6  |
|           Dust Tornado           |  2.22 |
|          Ryu Senshi 1st          |  1.92 |
|            Torrential            |  1.92 |
|         Fiend Skull Drag         |  1.45 |
|           Mirror force           |  1.06 |
|               test               |   0   |
+----------------------------------+-------+
2020-06-21
+----------------------------------+-------+
|               Card               | Price |
+----------------------------------+-------+
|           Pot of Greed           | 32.62 |
|             TER PSV              | 19.42 |
|             Stardust             | 18.06 |
|            Cyber Jar             |  17.4 |
| Last Warrior From Another planet | 15.79 |
|       Graceful charity HL        | 15.25 |
|       ring of destruction        | 13.62 |
|             Breaker              | 12.45 |
|        Airknight Parshath        | 11.95 |
|            Power Tool            |  9.32 |
|            Sangan HL             |  8.73 |
|            Black Rose            |  8.58 |
|              NoC HL              |  8.47 |
|         Tribe infecitng          |  8.45 |
|            Premature             |  8.14 |
|         Snatch steal MRL         |  7.92 |
|          Heavy Storm HL          |  7.88 |
|         Sakuretsu Armor          |  7.11 |
|           Dd assailnt            |  6.7  |
|        Metamorphosis pgd         |  6.54 |
|             COTH HL              |  6.52 |
|            Red Dragon            |  6.41 |
|           Sin Serpent            |  6.16 |
|           Scapegoat HL           |  5.32 |
|         Reaper Nightmare         |  5.09 |
|        Magician of faith         |  5.06 |
|             Mercahnt             |  5.04 |
|          Dark Balter HL          |  4.7  |
|          Ancient Fairy           |  4.24 |
|             Exarion              |  2.94 |
|        Morphing Jar LCYW         |  2.63 |
|           Dust Tornado           |  2.22 |
|            Torrential            |  1.98 |
|          Ryu Senshi 1st          |  1.92 |
|         Fiend Skull Drag         |  1.45 |
|           Mirror force           |  1.06 |
|               test               |   0   |
+----------------------------------+-------+
2020-06-30
+------------------------------------------------+--------+
|                      Card                      | Price  |
+------------------------------------------------+--------+
|           Blue-Eyes White Dragon DDS           | 999.99 |
|            scapegoat ultra rp01 ita            | 610.98 |
|               Dark Magician DDS                | 466.66 |
|               Book of Moon Super               | 403.49 |
|           Maxx c ultimate 2spa 1eng            | 348.63 |
|       cyber dark dragon Ultimate german        | 291.66 |
|           Dark Armed Dragon Ultimate           | 193.71 |
|             Dark Paladin 1st Ultra             | 186.37 |
|        cyber end dragon Ultimate italy         | 164.99 |
|           Stardust Dragon Ghost Unl            | 163.19 |
|     Trishula, Dragon of the Ice Barrier DT     | 150.71 |
|            Judgment Dragon Ultimate            | 138.53 |
|          tour guide ultimate italian           | 138.04 |
|           night assailant super ita            | 136.92 |
|          black rose dragon Ghost Unl           | 133.67 |
|       Lumina, Lightsworn Summoner Super        | 131.87 |
|         Dark Magician Girl Secret 1st          | 118.04 |
|         Dark Magician Girl Secret UNL          | 118.04 |
| Pot of Avarice Ultimate 1st 2 german 1 english | 115.0  |
|           power bond Ultimate german           | 112.75 |
|               trishula ultimate                | 100.57 |
|              foolish burial super              | 97.54  |
|               sangan super rp01                | 97.49  |
|              Spirit Reaper Super               | 89.37  |
|                  catastor DTP                  | 88.96  |
|           Effect Veiler Ultimate 1st           | 86.26  |
|              Bottomless Trap Hole              | 85.58  |
|      allure of darkness Ultimate 1st ita       | 85.57  |
|    trap dustshoot super 2 english 1 german     | 84.84  |
|          Red Eyes Black Metal Dragon           | 83.87  |
|         cyberdark edge Ultimate german         |  75.7  |
|          chimeratech Ultimate german           | 72.39  |
|             lonefire blossom super             | 70.52  |
|         Red Eyes Black Dragon BPT 2002         | 69.17  |
|              dd crow Ultimate 1st              | 67.56  |
|                  MST ultimate                  | 67.48  |
|             Dark Magician BPT 2002             | 65.49  |
|               EHERO Spark secret               |  64.3  |
|         ancient fairy dragon Ghost Unl         | 56.08  |
|             Blue Eyes Toon Dragon              | 55.88  |
|               tk raioh Ultimate                |  55.3  |
|           solem warning ultimate 1st           |  54.5  |
|               Tsukuyomi Ultimate               | 54.49  |
|              EHERO clayman secret              | 53.64  |
|           Slifer The Sky Dragon YMA            | 51.77  |
|           red nova drag Ultimate 1st           |  49.0  |
|         caius shadow monarch Ultimate          | 47.05  |
|                  honest ghost                  | 46.78  |
|            Stardust Dragon Ultimate            |  45.8  |
|               EHERO Avian secret               | 45.73  |
|      lightning vortex Ultimate 1st french      |  45.0  |
|       Chaos Emperor Dragon Ultimate 1st        | 44.67  |
|               EHERO Burst secret               | 42.24  |
|                     Maxx c                     | 41.99  |
|      glowup bulb Ultimate 2 eng 1 italian      | 41.96  |
|            Dark Magician Girl LCYW             | 41.43  |
|          Thousand Eyes Restrict RP02           | 41.37  |
|                Smashing Ground                 | 41.16  |
|            The Winged Dragon of Ra             | 40.67  |
|        shooting star drag Ultimate 1st         | 40.39  |
|     cyber twin dragon Ultimate 1st german      | 38.49  |
|            Gate Guardian Secret 1st            | 37.04  |
|           Blue-Eyes White Dragon LOB           | 36.17  |
|      Chaos Emperor Dragon EOTE Secret unl      | 36.04  |
|        Chaos Emperor Dragon Secret 1st         | 36.04  |
|        tragoedia ultimate 2 ENG 1 italy        |  36.0  |
|               dandylion Ultimate               | 35.81  |
|           black rose dragon ultimate           | 34.86  |
|           machine dupe Ultimate 1st            |  34.2  |
|                  Red Eyes LOB                  | 33.97  |
|                  Jinzo Secret                  | 33.24  |
|               Obelisk JUMP PrScr               | 32.95  |
|        overload fusion Ultimate german         | 32.53  |
|           Pot of Greed Ultimate 1st            | 32.37  |
|        Blue Eyes White Dragon BPT 2002         | 31.98  |
|          Harpie's Feather Duster SDD           | 31.16  |
|                Dark Paladin DMG                | 30.33  |
|                   brionac DT                   | 29.35  |
|                  Exodia Head                   |  28.6  |
|            B Skull Dragon BPT 2002             |  27.5  |
|       charge of the light brigade secret       |  27.4  |
|                   Tour guide                   | 26.98  |
|            e-tele Ultimate 1st ger             | 26.97  |
|          cyberdark horn Ultimate 1st           | 26.45  |
|      Black Luster Soldier EOTB Secret MC2      | 26.44  |
|             debris dragon Ultimate             | 26.35  |
|            Summoned Skull BPT 2002             | 25.23  |
|              Leviair Ultimate 1st              | 25.17  |
|              Leviair Ultimate Unl              | 25.17  |
|               Yata-Garasu Secret               | 24.84  |
|           colossal fighter Ultimate            | 24.61  |
|     plaguespreader zombie Ultimate 1st ita     |  23.8  |
| Formula Synchron ULTRA Advent Calendar GERMAN  | 23.02  |
