collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
|          Dimension Fusion IOC 1st          |  559  |
|         Cyber Dragon Ultimate 1st          |  504  |
| Allure of Darkness Ultimate 1st 1 DE 2 IT  |  499  |
|     Allure of Darkness Ultimate 1st EN     |  499  |
|             Breaker TP7 super              |  499  |
|      Caius Shadow Monarch Ultimate TU      |  499  |
|   Charge of the Light Brigade Secret 1st   |  499  |
|       Crush Card Virus Ultimate 1st        |  499  |
|           Spirit Reaper Super CP           |  499  |
|          Smashing Ground Super CP          |  498  |
|     Trap Dustshoot Super CP 2 EN 1 DE      |  459  |
|         Dark Armed Dragon Ultimate         |  436  |
|            Jinzo Secret PSV 1st            |  425  |
|        Tour Guide Ultimate Italian         |  425  |
|     Chaos Emperor Dragon Ultimate 1st      |  418  |
|             Tragoedia Ultimate             |  412  |
|      Lightning Vortex Ultimate 1st FR      |  399  |
|            DD Crow Ultimate 1st            |  389  |
| Pot of Greed Ultimate 1st - 2 EN 2 Foreign |  379  |
|            Gravekeeper Spy CP03            |  374  |
|            Mirror Force MRD 1st            |  329  |
|  Emegency Teleport Ultimate 1st 1 EN 2 DE  |  325  |
|         Glowup Bulb Ultimate 2 EN          |  323  |
|    Lumina, Lightsworn Summoner Super CP    |  310  |
|         Machine Dupe Ultimate 1st          |  300  |
|           Delinquent Duo MRL 1st           |  299  |
|              Krebos Super TU               |  299  |
|             Maxx C Secret 1st              |  299  |
|  Phoenix Wing Wind Blast Ultimate 1st NM   |  299  |
|      Dark Magician of Chaos DMOC 1st       |  298  |
|   Pot of Avarice Ultimate 1st 2 DE 1 EN    |  284  |
|           Cyber Jar Ultimate 1st           |  250  |
|              Snipe Hunter cp3              |  250  |
|        Solemn Warning Ultimate 1st         |  250  |
|        Thunder King Rai-Oh Ultimate        |  249  |
|             Sangan Super RP01              |  240  |
|    Brain Control Ultimate 1st 1 EN 1 DE    |  230  |
|        Destiny Hero Dasher UTR 1st         |  229  |
|     Mystical Space Typhoon MST MRL 1st     |  225  |
|             Dandylion Ultimate             |  219  |
|            Dekoichi UTR 1st NM             |  199  |
|            Doom Lord Rare DR04             |  199  |
|         Thunder King Rai-oh Secret         |  199  |
|           Celestia Ultimate 1st            |  189  |
|             Tsukuyomi Ultimate             |  189  |
|           Honest Ghost Unlimited           |  188  |
|               Demise UTR 1st               |  185  |
|        Solar Recharge Ultimate 1st         |  179  |
|  Phoenix Wing Wind Blast Ultimate 1st LP   |  178  |
|       Ring of Destruction Secret 1st       |  174  |
|          Dark Grepher Secret 1st           |  171  |
|          Call of the Haunted 1st           |  149  |
|             Lyla Ultimate 1st              |  149  |
|           Pot of Duality Scr 1st           |  149  |
|       Premature Burial Ultra 1st NM        |  149  |
|           Threatening Roar CP07            |  149  |
|         Torrential Tribute LON 1st         |  149  |
|             Doom Dozer UTR 1st             |  148  |
|           Debris Dragon Ultimate           |  139  |
|            Divine Wrath UTR 1st            |  129  |
|           Tour Guide Secret 1st            |  126  |
|           Mind Crush CP08 Super            |  120  |
|        Future Fusion UTR Unlimited         |  100  |
|           Mind Control WC Super            |  100  |
|            Snatch Steal MRL 1st            |  100  |
|         Archlord Kristya Unlimited         |   99  |
|         Cyber Phoenix Ultimate 1st         |   99  |
|        Dark Lord Zerato Secret 1st         |   99  |
|         Destiny Hero Plasma Secret         |   99  |
|        Harpie's Feather Duster SDD         |   99  |
|             Dark Hole LOB 1st              |   98  |
|     Monster Reincarnation Ultimate 1st     |   98  |
|   Diamond Dude Ultimate 1st - 2 EN 1 DE    |   94  |
|              Ehren Secret 1st              |   89  |
|            Dekoichi UTR 1st LP             |   88  |
|          Enemy Controller AST 1st          |   81  |
|              Destiny Draw 1st              |   80  |
|       Giant Trunade - MRL Super 1st        |   79  |
|          Rescue Rabbit Secret 1st          |   79  |
|       Solemn Judgment MRD Unlimited        |   77  |
|         Necro Gardna Ultimate 1st          |   74  |
|            Battle Fader UTR 1st            |   71  |
|            D Hero Malicious 1st            |   69  |
|                Ruin UTR 1st                |   69  |
|           Doomcalibur Knight TU            |   68  |
|            Heavy Storm MRD 1st             |   60  |
|                 Garoth TU                  |   49  |
|               Ryko LODT 1st                |   49  |
|          Nobleman of Crossout 1st          |   48  |
|          Tribe infecting MFC 1st           |   45  |
|                Beckoning TU                |   44  |
|            Confiscation MRL 1st            |   39  |
|          Card Destruction SDY 1st          |   36  |
| Return from Different Dimension DPKB Super |   29  |
|           Royal Decree DB2 Super           |   29  |
|           Thunder Dragon MRD 1st           |   29  |
|          Graceful Charity SDP 1st          |   25  |
